키워드,출처,월간검색수,검색수판정,1페이지 점령자,경쟁판정,추세,채택
,,,"=IF(C12="""","""",IF(C12<100,""탈락"",IF(C12<=1000,""황금"",IF(C12<=5000,""채택"",""보류""))))",,,,"=IF(OR(D12="""",F12=""""),"""",IF(AND(OR(D12=""황금"",D12=""채택""),OR(F12=""O"",F12=""OO"")),""Y"",""N""))"
,,,"=IF(C13="""","""",IF(C13<100,""탈락"",IF(C13<=1000,""황금"",IF(C13<=5000,""채택"",""보류""))))",,,,"=IF(OR(D13="""",F13=""""),"""",IF(AND(OR(D13=""황금"",D13=""채택""),OR(F13=""O"",F13=""OO"")),""Y"",""N""))"
,,,"=IF(C14="""","""",IF(C14<100,""탈락"",IF(C14<=1000,""황금"",IF(C14<=5000,""채택"",""보류""))))",,,,"=IF(OR(D14="""",F14=""""),"""",IF(AND(OR(D14=""황금"",D14=""채택""),OR(F14=""O"",F14=""OO"")),""Y"",""N""))"
,,,"=IF(C15="""","""",IF(C15<100,""탈락"",IF(C15<=1000,""황금"",IF(C15<=5000,""채택"",""보류""))))",,,,"=IF(OR(D15="""",F15=""""),"""",IF(AND(OR(D15=""황금"",D15=""채택""),OR(F15=""O"",F15=""OO"")),""Y"",""N""))"
,,,"=IF(C16="""","""",IF(C16<100,""탈락"",IF(C16<=1000,""황금"",IF(C16<=5000,""채택"",""보류""))))",,,,"=IF(OR(D16="""",F16=""""),"""",IF(AND(OR(D16=""황금"",D16=""채택""),OR(F16=""O"",F16=""OO"")),""Y"",""N""))"
,,,"=IF(C17="""","""",IF(C17<100,""탈락"",IF(C17<=1000,""황금"",IF(C17<=5000,""채택"",""보류""))))",,,,"=IF(OR(D17="""",F17=""""),"""",IF(AND(OR(D17=""황금"",D17=""채택""),OR(F17=""O"",F17=""OO"")),""Y"",""N""))"
,,,"=IF(C18="""","""",IF(C18<100,""탈락"",IF(C18<=1000,""황금"",IF(C18<=5000,""채택"",""보류""))))",,,,"=IF(OR(D18="""",F18=""""),"""",IF(AND(OR(D18=""황금"",D18=""채택""),OR(F18=""O"",F18=""OO"")),""Y"",""N""))"
,,,"=IF(C19="""","""",IF(C19<100,""탈락"",IF(C19<=1000,""황금"",IF(C19<=5000,""채택"",""보류""))))",,,,"=IF(OR(D19="""",F19=""""),"""",IF(AND(OR(D19=""황금"",D19=""채택""),OR(F19=""O"",F19=""OO"")),""Y"",""N""))"
,,,"=IF(C20="""","""",IF(C20<100,""탈락"",IF(C20<=1000,""황금"",IF(C20<=5000,""채택"",""보류""))))",,,,"=IF(OR(D20="""",F20=""""),"""",IF(AND(OR(D20=""황금"",D20=""채택""),OR(F20=""O"",F20=""OO"")),""Y"",""N""))"
,,,"=IF(C21="""","""",IF(C21<100,""탈락"",IF(C21<=1000,""황금"",IF(C21<=5000,""채택"",""보류""))))",,,,"=IF(OR(D21="""",F21=""""),"""",IF(AND(OR(D21=""황금"",D21=""채택""),OR(F21=""O"",F21=""OO"")),""Y"",""N""))"
,,,"=IF(C22="""","""",IF(C22<100,""탈락"",IF(C22<=1000,""황금"",IF(C22<=5000,""채택"",""보류""))))",,,,"=IF(OR(D22="""",F22=""""),"""",IF(AND(OR(D22=""황금"",D22=""채택""),OR(F22=""O"",F22=""OO"")),""Y"",""N""))"
,,,"=IF(C23="""","""",IF(C23<100,""탈락"",IF(C23<=1000,""황금"",IF(C23<=5000,""채택"",""보류""))))",,,,"=IF(OR(D23="""",F23=""""),"""",IF(AND(OR(D23=""황금"",D23=""채택""),OR(F23=""O"",F23=""OO"")),""Y"",""N""))"
,,,"=IF(C24="""","""",IF(C24<100,""탈락"",IF(C24<=1000,""황금"",IF(C24<=5000,""채택"",""보류""))))",,,,"=IF(OR(D24="""",F24=""""),"""",IF(AND(OR(D24=""황금"",D24=""채택""),OR(F24=""O"",F24=""OO"")),""Y"",""N""))"
,,,"=IF(C25="""","""",IF(C25<100,""탈락"",IF(C25<=1000,""황금"",IF(C25<=5000,""채택"",""보류""))))",,,,"=IF(OR(D25="""",F25=""""),"""",IF(AND(OR(D25=""황금"",D25=""채택""),OR(F25=""O"",F25=""OO"")),""Y"",""N""))"
,,,"=IF(C26="""","""",IF(C26<100,""탈락"",IF(C26<=1000,""황금"",IF(C26<=5000,""채택"",""보류""))))",,,,"=IF(OR(D26="""",F26=""""),"""",IF(AND(OR(D26=""황금"",D26=""채택""),OR(F26=""O"",F26=""OO"")),""Y"",""N""))"
,,,"=IF(C27="""","""",IF(C27<100,""탈락"",IF(C27<=1000,""황금"",IF(C27<=5000,""채택"",""보류""))))",,,,"=IF(OR(D27="""",F27=""""),"""",IF(AND(OR(D27=""황금"",D27=""채택""),OR(F27=""O"",F27=""OO"")),""Y"",""N""))"
,,,"=IF(C28="""","""",IF(C28<100,""탈락"",IF(C28<=1000,""황금"",IF(C28<=5000,""채택"",""보류""))))",,,,"=IF(OR(D28="""",F28=""""),"""",IF(AND(OR(D28=""황금"",D28=""채택""),OR(F28=""O"",F28=""OO"")),""Y"",""N""))"
,,,"=IF(C29="""","""",IF(C29<100,""탈락"",IF(C29<=1000,""황금"",IF(C29<=5000,""채택"",""보류""))))",,,,"=IF(OR(D29="""",F29=""""),"""",IF(AND(OR(D29=""황금"",D29=""채택""),OR(F29=""O"",F29=""OO"")),""Y"",""N""))"
,,,"=IF(C30="""","""",IF(C30<100,""탈락"",IF(C30<=1000,""황금"",IF(C30<=5000,""채택"",""보류""))))",,,,"=IF(OR(D30="""",F30=""""),"""",IF(AND(OR(D30=""황금"",D30=""채택""),OR(F30=""O"",F30=""OO"")),""Y"",""N""))"
,,,"=IF(C31="""","""",IF(C31<100,""탈락"",IF(C31<=1000,""황금"",IF(C31<=5000,""채택"",""보류""))))",,,,"=IF(OR(D31="""",F31=""""),"""",IF(AND(OR(D31=""황금"",D31=""채택""),OR(F31=""O"",F31=""OO"")),""Y"",""N""))"
,,,"=IF(C32="""","""",IF(C32<100,""탈락"",IF(C32<=1000,""황금"",IF(C32<=5000,""채택"",""보류""))))",,,,"=IF(OR(D32="""",F32=""""),"""",IF(AND(OR(D32=""황금"",D32=""채택""),OR(F32=""O"",F32=""OO"")),""Y"",""N""))"
,,,"=IF(C33="""","""",IF(C33<100,""탈락"",IF(C33<=1000,""황금"",IF(C33<=5000,""채택"",""보류""))))",,,,"=IF(OR(D33="""",F33=""""),"""",IF(AND(OR(D33=""황금"",D33=""채택""),OR(F33=""O"",F33=""OO"")),""Y"",""N""))"
,,,"=IF(C34="""","""",IF(C34<100,""탈락"",IF(C34<=1000,""황금"",IF(C34<=5000,""채택"",""보류""))))",,,,"=IF(OR(D34="""",F34=""""),"""",IF(AND(OR(D34=""황금"",D34=""채택""),OR(F34=""O"",F34=""OO"")),""Y"",""N""))"
,,,"=IF(C35="""","""",IF(C35<100,""탈락"",IF(C35<=1000,""황금"",IF(C35<=5000,""채택"",""보류""))))",,,,"=IF(OR(D35="""",F35=""""),"""",IF(AND(OR(D35=""황금"",D35=""채택""),OR(F35=""O"",F35=""OO"")),""Y"",""N""))"
,,,"=IF(C36="""","""",IF(C36<100,""탈락"",IF(C36<=1000,""황금"",IF(C36<=5000,""채택"",""보류""))))",,,,"=IF(OR(D36="""",F36=""""),"""",IF(AND(OR(D36=""황금"",D36=""채택""),OR(F36=""O"",F36=""OO"")),""Y"",""N""))"
,,,"=IF(C37="""","""",IF(C37<100,""탈락"",IF(C37<=1000,""황금"",IF(C37<=5000,""채택"",""보류""))))",,,,"=IF(OR(D37="""",F37=""""),"""",IF(AND(OR(D37=""황금"",D37=""채택""),OR(F37=""O"",F37=""OO"")),""Y"",""N""))"
,,,"=IF(C38="""","""",IF(C38<100,""탈락"",IF(C38<=1000,""황금"",IF(C38<=5000,""채택"",""보류""))))",,,,"=IF(OR(D38="""",F38=""""),"""",IF(AND(OR(D38=""황금"",D38=""채택""),OR(F38=""O"",F38=""OO"")),""Y"",""N""))"
,,,"=IF(C39="""","""",IF(C39<100,""탈락"",IF(C39<=1000,""황금"",IF(C39<=5000,""채택"",""보류""))))",,,,"=IF(OR(D39="""",F39=""""),"""",IF(AND(OR(D39=""황금"",D39=""채택""),OR(F39=""O"",F39=""OO"")),""Y"",""N""))"
,,,"=IF(C40="""","""",IF(C40<100,""탈락"",IF(C40<=1000,""황금"",IF(C40<=5000,""채택"",""보류""))))",,,,"=IF(OR(D40="""",F40=""""),"""",IF(AND(OR(D40=""황금"",D40=""채택""),OR(F40=""O"",F40=""OO"")),""Y"",""N""))"
,,,"=IF(C41="""","""",IF(C41<100,""탈락"",IF(C41<=1000,""황금"",IF(C41<=5000,""채택"",""보류""))))",,,,"=IF(OR(D41="""",F41=""""),"""",IF(AND(OR(D41=""황금"",D41=""채택""),OR(F41=""O"",F41=""OO"")),""Y"",""N""))"
,,,"=IF(C42="""","""",IF(C42<100,""탈락"",IF(C42<=1000,""황금"",IF(C42<=5000,""채택"",""보류""))))",,,,"=IF(OR(D42="""",F42=""""),"""",IF(AND(OR(D42=""황금"",D42=""채택""),OR(F42=""O"",F42=""OO"")),""Y"",""N""))"
,,,"=IF(C43="""","""",IF(C43<100,""탈락"",IF(C43<=1000,""황금"",IF(C43<=5000,""채택"",""보류""))))",,,,"=IF(OR(D43="""",F43=""""),"""",IF(AND(OR(D43=""황금"",D43=""채택""),OR(F43=""O"",F43=""OO"")),""Y"",""N""))"
,,,"=IF(C44="""","""",IF(C44<100,""탈락"",IF(C44<=1000,""황금"",IF(C44<=5000,""채택"",""보류""))))",,,,"=IF(OR(D44="""",F44=""""),"""",IF(AND(OR(D44=""황금"",D44=""채택""),OR(F44=""O"",F44=""OO"")),""Y"",""N""))"
,,,"=IF(C45="""","""",IF(C45<100,""탈락"",IF(C45<=1000,""황금"",IF(C45<=5000,""채택"",""보류""))))",,,,"=IF(OR(D45="""",F45=""""),"""",IF(AND(OR(D45=""황금"",D45=""채택""),OR(F45=""O"",F45=""OO"")),""Y"",""N""))"
,,,"=IF(C46="""","""",IF(C46<100,""탈락"",IF(C46<=1000,""황금"",IF(C46<=5000,""채택"",""보류""))))",,,,"=IF(OR(D46="""",F46=""""),"""",IF(AND(OR(D46=""황금"",D46=""채택""),OR(F46=""O"",F46=""OO"")),""Y"",""N""))"
,,,"=IF(C47="""","""",IF(C47<100,""탈락"",IF(C47<=1000,""황금"",IF(C47<=5000,""채택"",""보류""))))",,,,"=IF(OR(D47="""",F47=""""),"""",IF(AND(OR(D47=""황금"",D47=""채택""),OR(F47=""O"",F47=""OO"")),""Y"",""N""))"
,,,"=IF(C48="""","""",IF(C48<100,""탈락"",IF(C48<=1000,""황금"",IF(C48<=5000,""채택"",""보류""))))",,,,"=IF(OR(D48="""",F48=""""),"""",IF(AND(OR(D48=""황금"",D48=""채택""),OR(F48=""O"",F48=""OO"")),""Y"",""N""))"
,,,"=IF(C49="""","""",IF(C49<100,""탈락"",IF(C49<=1000,""황금"",IF(C49<=5000,""채택"",""보류""))))",,,,"=IF(OR(D49="""",F49=""""),"""",IF(AND(OR(D49=""황금"",D49=""채택""),OR(F49=""O"",F49=""OO"")),""Y"",""N""))"
,,,"=IF(C50="""","""",IF(C50<100,""탈락"",IF(C50<=1000,""황금"",IF(C50<=5000,""채택"",""보류""))))",,,,"=IF(OR(D50="""",F50=""""),"""",IF(AND(OR(D50=""황금"",D50=""채택""),OR(F50=""O"",F50=""OO"")),""Y"",""N""))"
,,,"=IF(C51="""","""",IF(C51<100,""탈락"",IF(C51<=1000,""황금"",IF(C51<=5000,""채택"",""보류""))))",,,,"=IF(OR(D51="""",F51=""""),"""",IF(AND(OR(D51=""황금"",D51=""채택""),OR(F51=""O"",F51=""OO"")),""Y"",""N""))"
